term_str,n,n_chars,p,i,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
104h,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104h,104h,104h
104j,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,104j,104j,104j
105,28,3,1.635400343083629e-05,15.899996626309038,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,105,105,105
105a,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,105a,105a,105a
106,16,3,9.345144817620738e-06,16.707351548366642,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,106,106,106
107,28,3,1.635400343083629e-05,15.899996626309038,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,107,107,107
108,26,3,1.5185860328633698e-05,16.00691183022555,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,108,108,108
108a,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,108a,108a,108a
109,24,3,1.4017717226431107e-05,16.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,109,109,109
10907ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10907ft,10907ft,10907ft
1091,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1091,1091,1091
10962,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10962,10962,10962
10a,5,3,2.9203577555064806e-06,18.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10a,10a,10a
10b,3,3,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10b,10b,10b
10c,3,3,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10c,10c,10c
10d,1,3,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10d,10d,10d
10e,1,3,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10e,10e,10e
10in,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10in,10in,10in
10members,1,9,5.840715511012961e-07,20.707351548366642,NOUN,NOUN,1,{'NOUN'},1,{'NOUN'},0,10member,10member,10members
10one,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10one,10one,10one
10proposing,1,11,5.840715511012961e-07,20.707351548366642,VERB,VERB,1,{'VERB'},1,{'VERB'},0,10propos,10propos,10proposing
10th,10,4,5.840715511012961e-06,17.38542345347928,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,10th,10th,10th
10the,2,5,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10the,10the,10the
10this,1,6,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10thi,10this,10this
10ththose,1,9,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10ththose,10ththose,10ththose
10thto,5,6,2.9203577555064806e-06,18.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,10thto,10thto,10thto
10year,1,6,5.840715511012961e-07,20.707351548366642,ADJ,ADJ,1,{'ADJ'},1,{'ADJ'},0,10year,10year,10year
11,177,2,0.00010338066454492941,13.239745998283645,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,11,11,11
110,41,3,2.394693359515314e-05,15.349799543748558,NUM,NUM,1,{'NUM'},1,{'NUM'},0,110,110,110
1100000,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1100000,1100000,1100000
11002,9,5,5.256643959911665e-06,17.53742654692433,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11002,11002,11002
1101998,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1101998,1101998,1101998
1102007,2,7,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1102007,1102007,1102007
11085ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11085ft,11085ft,11085ft
11091,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11091,11091,11091
110a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,110a,110a,110a
110b,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,110b,110b,110b
110c,3,4,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,110c,110c,110c
110d,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,110d,110d,110d
110e,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,110e,110e,110e
110f,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,110f,110f,110f
111,30,3,1.7522146533038883e-05,15.800460952758124,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111,111,111
111213,1,6,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111213,111213,111213
11122011,13,8,7.592930164316849e-06,17.00691183022555,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11122011,11122011,11122011
11141ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11141ft,11141ft,11141ft
111a,3,4,1.7522146533038884e-06,19.122389047645488,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,111a,111a,111a
111aa,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111aa,111aa,111aa
111b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111b,111b,111b
111c,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111c,111c,111c
111d,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111d,111d,111d
111e,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111e,111e,111e
111f,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111f,111f,111f
111g,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111g,111g,111g
111h,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111h,111h,111h
111j,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111j,111j,111j
111k,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111k,111k,111k
111l,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111l,111l,111l
111m,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111m,111m,111m
111the,1,6,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,111the,111the,111the
112,27,3,1.5769931879734996e-05,15.952464046203174,NUM,NUM,1,{'NUM'},1,{'NUM'},0,112,112,112
112003,1,6,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,112003,112003,112003
112a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,112a,112a,112a
112b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,112b,112b,112b
112c,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,112c,112c,112c
112d,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,112d,112d,112d
112e,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,112e,112e,112e
112public,1,9,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,112public,112public,112public
113,22,3,1.2849574124228514e-05,16.247919929729346,NUM,NUM,1,{'NUM'},1,{'NUM'},0,113,113,113
11338ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11338ft,11338ft,11338ft
1137ft,2,6,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1137ft,1137ft,1137ft
113a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,113a,113a,113a
113formulation,1,14,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,113formul,113formul,113formulation
114,21,3,1.2265502573127219e-05,16.315034125587882,NUM,NUM,1,{'NUM'},1,{'NUM'},0,114,114,114
1143,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1143,1143,1143
1144,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1144,1144,1144
114the,1,6,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,114the,114the,114the
115,31,3,1.810621808414018e-05,15.753155237979767,NUM,NUM,1,{'NUM'},1,{'NUM'},0,115,115,115
115a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,115a,115a,115a
115awarding,1,11,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,115award,115award,115awarding
115b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,115b,115b,115b
115c,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,115c,115c,115c
116,20,3,1.1681431022025922e-05,16.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,116,116,116
11610ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11610ft,11610ft,11610ft
116a,3,4,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,116a,116a,116a
116b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,116b,116b,116b
117,15,3,8.761073266519441e-06,16.800460952758122,NUM,NUM,1,{'NUM'},1,{'NUM'},0,117,117,117
11720ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11720ft,11720ft,11720ft
118,18,3,1.051328791982333e-05,16.53742654692433,NUM,NUM,1,{'NUM'},1,{'NUM'},0,118,118,118
118a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,118a,118a,118a
119,24,3,1.4017717226431107e-05,16.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,119,119,119
11962,2,5,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11962,11962,11962
1198,3,4,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1198,1198,1198
11993,5,5,2.9203577555064806e-06,18.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11993,11993,11993
119a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,119a,119a,119a
11a,3,3,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11a,11a,11a
11formulation,1,13,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11formul,11formul,11formulation
11is,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11i,11is,11is
11one,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11one,11one,11one
11th,5,4,2.9203577555064806e-06,18.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11th,11th,11th
11the,2,5,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11the,11the,11the
11ththe,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11ththe,11ththe,11ththe
11thto,5,6,2.9203577555064806e-06,18.38542345347928,NUM,NUM,1,{'NUM'},1,{'NUM'},0,11thto,11thto,11thto
11trying,1,8,5.840715511012961e-07,20.707351548366642,VERB,VERB,1,{'VERB'},1,{'VERB'},0,11tri,11tri,11trying
11year,1,6,5.840715511012961e-07,20.707351548366642,ADJ,ADJ,1,{'ADJ'},1,{'ADJ'},0,11year,11year,11year
12,221,2,0.00012907981279338643,12.91944898897521,NUM,NUM,2,"{'NUM', 'ADJ'}",2,"{'NUM', 'ADJ'}",0,12,12,12
120,34,3,1.985843273744407e-05,15.619888707116303,NUM,NUM,1,{'NUM'},1,{'NUM'},0,120,120,120
12000ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,12000ft,12000ft,12000ft
12045ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,12045ft,12045ft,12045ft
120a,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,120a,120a,120a
120b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,120b,120b,120b
120c,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,120c,120c,120c
121,21,3,1.2265502573127219e-05,16.315034125587882,NUM,NUM,1,{'NUM'},1,{'NUM'},0,121,121,121
1213,2,4,1.1681431022025922e-06,19.707351548366642,ADJ,ADJ,1,{'ADJ'},1,{'ADJ'},0,1213,1213,1213
121a,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,121a,121a,121a
121b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,121b,121b,121b
121establishment,1,16,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,121establish,121establish,121establishment
122,22,3,1.2849574124228514e-05,16.247919929729346,NUM,NUM,1,{'NUM'},1,{'NUM'},0,122,122,122
1226,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1226,1226,1226
122a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,122a,122a,122a
122aa,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,122aa,122aa,122aa
122ab,1,5,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,122ab,122ab,122ab
122b,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,122b,122b,122b
122c,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,122c,122c,122c
122establishment,1,16,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,122establish,122establish,122establishment
123,32,3,1.8690289635241476e-05,15.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,123,123,123
1233ft,2,6,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1233ft,1233ft,1233ft
12368ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,12368ft,12368ft,12368ft
123a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,123a,123a,123a
124,26,3,1.5185860328633698e-05,16.00691183022555,NUM,NUM,1,{'NUM'},1,{'NUM'},0,124,124,124
1244,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1244,1244,1244
125,24,3,1.4017717226431107e-05,16.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,125,125,125
125000,1,6,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,125000,125000,125000
125a,3,4,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,125a,125a,125a
126,18,3,1.051328791982333e-05,16.53742654692433,NUM,NUM,1,{'NUM'},1,{'NUM'},0,126,126,126
126a,3,4,1.7522146533038884e-06,19.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,126a,126a,126a
126b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,126b,126b,126b
126bis,2,6,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,126bi,126bis,126bis
126c,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,126c,126c,126c
126d,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,126d,126d,126d
127,34,3,1.985843273744407e-05,15.619888707116303,NUM,NUM,1,{'NUM'},1,{'NUM'},0,127,127,127
1278,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1278,1278,1278
127a,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,127a,127a,127a
127b,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,127b,127b,127b
127c,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,127c,127c,127c
128,24,3,1.4017717226431107e-05,16.122389047645488,NUM,NUM,1,{'NUM'},1,{'NUM'},0,128,128,128
12882ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,12882ft,12882ft,12882ft
12898ft,1,7,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,12898ft,12898ft,12898ft
129,22,3,1.2849574124228514e-05,16.247919929729346,NUM,NUM,1,{'NUM'},1,{'NUM'},0,129,129,129
1291,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,1291,1291,1291
129a,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,129a,129a,129a
129b,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,129b,129b,129b
129c,2,4,1.1681431022025922e-06,19.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,129c,129c,129c
129d,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,129d,129d,129d
129e,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,129e,129e,129e
129f,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,129f,129f,129f
12a,4,3,2.3362862044051845e-06,18.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,12a,12a,12a
12aa,1,4,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,12aa,12aa,12aa
12aappointing,1,13,5.840715511012961e-07,20.707351548366642,VERB,VERB,1,{'VERB'},1,{'VERB'},0,12aappoint,12aappoint,12aappointing
12appoints,1,10,5.840715511012961e-07,20.707351548366642,NOUN,NOUN,1,{'NOUN'},1,{'NOUN'},0,12appoint,12appoint,12appoints
12b,1,3,5.840715511012961e-07,20.707351548366642,NUM,NUM,1,{'NUM'},1,{'NUM'},0,12b,12b,12b
